room,npc,str,ptrFieldAddr,textAddr
11,0,1,0x1c4c0e,0x1c4cbe
11,0,2,0x1c4c10,0x1c4d74
11,0,3,0x1c4c12,0x1c4d7a
11,1,0,0x1c4e42,0x1c4e44
12,0,0,0x1c4e96,0x1c4eac
12,0,1,0x1c4e98,0x1c4f58
12,0,2,0x1c4e9a,0x1c4fc8
12,0,3,0x1c4e9c,0x1c4fce
12,0,4,0x1c4e9e,0x1c500c
12,0,5,0x1c4ea0,0x1c505c
12,0,6,0x1c4ea2,0x1c50ac
12,0,7,0x1c4ea4,0x1c50fc
12,0,8,0x1c4ea6,0x1c514c
12,0,9,0x1c4ea8,0x1c5198
12,0,10,0x1c4eaa,0x1c51ce
12,1,0,0x1c5248,0x1c524a
13,0,0,0x1c52cc,0x1c52de
13,0,1,0x1c52ce,0x1c52fa
13,0,2,0x1c52d0,0x1c5326
13,0,3,0x1c52d2,0x1c53a4
13,0,4,0x1c52d4,0x1c53de
13,0,5,0x1c52d6,0x1c5400
13,0,6,0x1c52d8,0x1c544c
13,0,7,0x1c52da,0x1c546c
13,0,8,0x1c52dc,0x1c54b4
13,1,0,0x1c54f6,0x1c54fa
13,1,1,0x1c54f8,0x1c5540
14,0,0,0x1c55dc,0x1c55e2
14,0,1,0x1c55de,0x1c5618
14,0,2,0x1c55e0,0x1c56c4
14,1,0,0x1c5746,0x1c574c
14,1,1,0x1c5748,0x1c5800
14,1,2,0x1c574a,0x1c5890
14,2,0,0x1c58d6,0x1c58dc
14,2,1,0x1c58d8,0x1c5942
14,2,2,0x1c58da,0x1c59b4
14,3,0,0x1c59fa,0x1c59fc
15,0,0,0x1c5a4a,0x1c5a50
15,0,1,0x1c5a4c,0x1c5a98
15,0,2,0x1c5a4e,0x1c5ae0
16,0,0,0x1c5b78,0x1c5b7e
16,0,1,0x1c5b7a,0x1c5c1a
16,0,2,0x1c5b7c,0x1c5c92
16,1,0,0x1c5d30,0x1c5d36
16,1,1,0x1c5d32,0x1c5d84
16,1,2,0x1c5d34,0x1c5de2
17,0,0,0x1c5e32,0x1c5e46
17,0,1,0x1c5e34,0x1c5e9c
17,0,2,0x1c5e36,0x1c5ece
17,0,3,0x1c5e38,0x1c5f1a
17,0,4,0x1c5e3a,0x1c5f62
17,0,5,0x1c5e3c,0x1c601c
17,0,6,0x1c5e3e,0x1c606e
17,0,7,0x1c5e40,0x1c60aa
17,0,8,0x1c5e42,0x1c60e6
17,0,9,0x1c5e44,0x1c6136
18,0,0,0x1c6192,0x1c6196
18,0,1,0x1c6194,0x1c61e2
18,1,0,0x1c622a,0x1c6232
18,1,1,0x1c622c,0x1c62aa
18,1,2,0x1c622e,0x1c6310
18,1,3,0x1c6230,0x1c6350
18,2,0,0x1c63e6,0x1c63ee
18,2,1,0x1c63e8,0x1c647e
18,2,2,0x1c63ea,0x1c64ba
18,2,3,0x1c63ec,0x1c64ee
18,3,0,0x1c65ac,0x1c65b4
18,3,1,0x1c65ae,0x1c6640
18,3,2,0x1c65b0,0x1c6678
18,3,3,0x1c65b2,0x1c66b6
19,0,0,0x1c6788,0x1c6790
19,0,1,0x1c678a,0x1c6830
19,0,2,0x1c678c,0x1c6882
19,0,3,0x1c678e,0x1c68ca
20,0,0,0x1c6924,0x1c6928
20,0,1,0x1c6926,0x1c6998
20,1,0,0x1c69c8,0x1c69cc
20,1,1,0x1c69ca,0x1c6ae6
21,0,0,0x1c6b66,0x1c6b68
21,1,0,0x1c6bb2,0x1c6bb6
21,1,1,0x1c6bb4,0x1c6be8
21,2,0,0x1c6bfa,0x1c6bfe
21,2,1,0x1c6bfc,0x1c6c76
22,0,0,0x1c6b66,0x1c6b68
22,1,0,0x1c6bb2,0x1c6bb6
22,1,1,0x1c6bb4,0x1c6be8
22,2,0,0x1c6bfa,0x1c6bfe
22,2,1,0x1c6bfc,0x1c6c76
23,0,0,0x1c6cb6,0x1c6cb8
23,1,0,0x1c6cbe,0x1c6cc2
23,1,1,0x1c6cc0,0x1c6d62
23,2,0,0x1c6da6,0x1c6da8
23,3,0,0x1c6dae,0x1c6db0
24,0,0,0x1c6cb6,0x1c6cb8
24,1,0,0x1c6cbe,0x1c6cc2
24,1,1,0x1c6cc0,0x1c6d62
24,2,0,0x1c6da6,0x1c6da8
24,3,0,0x1c6dae,0x1c6db0
25,0,0,0x1c6dba,0x1c6dc0
25,0,1,0x1c6dbc,0x1c6ed4
25,0,2,0x1c6dbe,0x1c6f5e
25,1,0,0x1c6f64,0x1c6f68
25,1,1,0x1c6f66,0x1c6fbc
26,0,0,0x1c700e,0x1c7020
26,0,1,0x1c7010,0x1c7094
26,0,2,0x1c7012,0x1c7124
26,0,3,0x1c7014,0x1c7188
26,0,4,0x1c7016,0x1c7258
26,0,5,0x1c7018,0x1c72ec
26,0,6,0x1c701a,0x1c73c0
26,0,7,0x1c701c,0x1c7424
26,0,8,0x1c701e,0x1c74a4
27,0,0,0x1c74fa,0x1c7502
27,0,1,0x1c74fc,0x1c7550
27,0,2,0x1c74fe,0x1c75dc
27,0,3,0x1c7500,0x1c7660
27,1,0,0x1c76b0,0x1c76b2
27,2,0,0x1c76e6,0x1c76e8
28,0,0,0x1c7726,0x1c7728
28,1,0,0x1c77bc,0x1c77be
29,0,0,0x1c7838,0x1c784a
29,0,1,0x1c783a,0x1c788c
29,0,2,0x1c783c,0x1c78da
29,0,3,0x1c783e,0x1c791a
29,0,4,0x1c7840,0x1c7958
29,0,5,0x1c7842,0x1c79a2
29,0,6,0x1c7844,0x1c79e8
29,0,7,0x1c7846,0x1c7a70
29,0,8,0x1c7848,0x1c7acc
29,1,0,0x1c7b1a,0x1c7b22
29,1,1,0x1c7b1c,0x1c7b92
29,1,2,0x1c7b1e,0x1c7bcc
29,1,3,0x1c7b20,0x1c7c3c
29,2,0,0x1c7c86,0x1c7c8e
29,2,1,0x1c7c88,0x1c7cc2
29,2,2,0x1c7c8a,0x1c7d16
29,2,3,0x1c7c8c,0x1c7d5c
30,0,0,0x1c7dc0,0x1c7dd6
30,0,1,0x1c7dc2,0x1c7e90
30,0,2,0x1c7dc4,0x1c7f06
30,0,3,0x1c7dc6,0x1c7f62
30,0,4,0x1c7dc8,0x1c7f9c
30,0,5,0x1c7dca,0x1c8026
30,0,6,0x1c7dcc,0x1c8072
30,0,7,0x1c7dce,0x1c80f6
30,0,8,0x1c7dd0,0x1c8158
30,0,9,0x1c7dd2,0x1c81e2
30,0,10,0x1c7dd4,0x1c81fc
30,1,0,0x1c8280,0x1c828a
30,1,1,0x1c8282,0x1c82c2
30,1,2,0x1c8284,0x1c8396
30,1,3,0x1c8286,0x1c83aa
30,1,4,0x1c8288,0x1c83e8
30,2,0,0x1c8424,0x1c8426
30,3,0,0x1c846e,0x1c8470
30,4,0,0x1c84ec,0x1c84ee
31,0,0,0x1c7dc0,0x1c7dd6
